,points,rebounds,assists,date,made_field_goals,made_three_point_field_goals,made_free_throws,offensive_rebounds,defensive_rebounds,team,location,opponent,outcome,seconds_played,attempted_three_point_field_goals,attempted_free_throws,attempted_field_goals,steals,blocks,turnovers,personal_fouls,game_score,minutes_played,true_shooting,
Anthony Davis,25,10,5,19_10_22,8,0,9,3,7,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,2242,2,14,21,1,2,3,3,17.4,37.37,0.429,
Avery Bradley,8,3,0,19_10_22,3,2,0,0,3,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,1442,5,0,7,0,0,2,3,2,24.03,0.333,
Danny Green,28,7,0,19_10_22,10,7,1,1,6,LOS_ANGELES_LAKERS,AWAY,LOS_ANGELES_CLIPPERS,LOSS,1940,9,1,14,2,1,0,3,26.2,32.33,0.597,
Michael Jordan,40,20,20,96_10_22,9,9,9,9,9,CHICAGO_BULLS,HOME,MIAMI_HEAT,WIN,3000,4,4,4,4,4,4,4,50.1,50,1.1,
Bruno Fernando,0,0,0,19_11_10,0,0,0,0,0,ATLANTA_HAWKS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,187,0,0,1,1,0,0,0,0.3,3.12,0,0
Cam Reddish,0,5,0,19_11_10,0,0,0,0,5,ATLANTA_HAWKS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,953,1,0,4,2,0,2,1,-1.7,15.88,0,0
Damian Jones,8,7,1,19_11_10,4,0,0,4,3,ATLANTA_HAWKS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,1445,0,0,7,1,1,0,2,10,24.08,0.571,1
De'Andre Hunter,14,5,2,19_11_10,5,4,0,1,4,ATLANTA_HAWKS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,2338,9,0,14,0,0,1,4,6.9,38.97,0.304,2
DeAndre' Bembry,6,3,3,19_11_10,3,0,0,0,3,ATLANTA_HAWKS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,2402,1,0,6,2,1,1,3,6.5,40.03,0.429,3
Jabari Parker,27,11,2,19_11_10,13,1,0,2,9,ATLANTA_HAWKS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,2213,6,3,23,2,4,1,6,21.8,36.88,0.445,2
Kevin Huerter,15,5,2,19_11_10,5,3,2,1,4,ATLANTA_HAWKS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,1855,8,2,12,0,0,4,3,6.7,30.92,0.359,0.5
Trae Young,35,8,10,19_11_10,9,3,14,2,6,ATLANTA_HAWKS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,2579,13,17,30,3,0,7,2,21.8,42.98,0.347,1.43
Tyrone Wallace,4,2,1,19_11_10,1,0,2,0,2,ATLANTA_HAWKS,AWAY,PORTLAND_TRAIL_BLAZERS,LOSS,1012,1,3,2,0,0,0,1,3.5,16.87,0.463,1
Anfernee Simons,20,3,2,19_11_10,8,3,1,1,2,PORTLAND_TRAIL_BLAZERS,HOME,ATLANTA_HAWKS,WIN,1450,5,1,12,2,0,2,3,16.3,24.17,0.573,1
Anthony Tolliver,6,7,0,19_11_10,2,1,1,2,5,PORTLAND_TRAIL_BLAZERS,HOME,ATLANTA_HAWKS,WIN,1321,5,2,7,1,0,2,2,2.6,22.02,0.233,0
